PLOT AREA,PLOT_ID,Resort,Playground,Fitness Centre,University,Theatre,School,Restaurant,Pub,Worship,Library,Kid,Hospital,Cafe,NGO,Government,Diplomatic,Coworking,Company,Viewpoint,Museum,Hotel,T_GH,Attraction,Artwork,TOTAL,X,Y
3472,11998,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3952416.836,4011833.879
2480,12920,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3952435.033,4011907.039
2400,15528,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3952407.744,4011919.13
3192,18242,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3952296.751,4011917.778
3332,18270,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3952368.861,4011963.365
3525,19605,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3952320.165,4011977.094
1792,13400,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3952337.935,4012163.345
1808,13496,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3952476.2,4012170.573
1608,13592,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3952477.057,4012154.523
1477,11963,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3952544.065,4012132.926
1728,13784,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3952421.973,4012107.563
2646,138258,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3953739.511,4013824.633
1554,111776,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3953654.821,4013902.274
1819,141151,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3953722.112,4013901.291
1240,143060,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,5,3950398.36,4015205.786
1008,117624,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3950467.049,4015344.531
4522,436696,0,0,1,0,2,0,9,2,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,20,3950377.548,4014724.077
